timestamp,log_level,service_name,status_code,response_time_ms,ip_address,is_error,log_level_int
2024-06-15 09:00:00.046927+00:00,CRITICAL,inventory-service,503,62,90.35.125.95,1,3
2024-06-15 09:00:00.063886+00:00,INFO,user-service,200,162,166.153.234.81,0,0
2024-06-15 09:00:00.069870+00:00,INFO,payment-service,200,159,93.235.78.112,0,0
2024-06-15 09:00:00.192995+00:00,INFO,user-service,200,210,136.216.108.238,0,0
2024-06-15 09:00:00.195075+00:00,INFO,user-service,200,99,110.69.236.47,0,0
2024-06-15 09:00:00.215336+00:00,INFO,gateway,201,103,210.153.53.241,0,0
2024-06-15 09:00:00.251612+00:00,WARN,gateway,302,1,108.194.89.158,0,1
2024-06-15 09:00:00.286034+00:00,CRITICAL,payment-service,500,206,206.237.162.244,1,3
2024-06-15 09:00:00.380671+00:00,INFO,order-service,304,110,211.116.114.7,0,0
2024-06-15 09:00:00.426299+00:00,INFO,notification-service,200,88,139.26.179.58,0,0
2024-06-15 09:00:00.487192+00:00,INFO,inventory-service,201,95,80.55.13.238,0,0
2024-06-15 09:00:00.559395+00:00,INFO,payment-service,201,181,91.107.136.180,0,0
2024-06-15 09:00:00.649146+00:00,INFO,inventory-service,200,148,55.232.167.87,0,0
2024-06-15 09:00:00.667842+00:00,INFO,auth-service,304,103,127.166.93.125,0,0
2024-06-15 09:00:00.674568+00:00,INFO,auth-service,200,97,54.220.164.120,0,0
2024-06-15 09:00:00.684846+00:00,INFO,inventory-service,304,206,139.7.47.238,0,0
2024-06-15 09:00:00.800121+00:00,INFO,notification-service,200,68,207.100.186.111,0,0
2024-06-15 09:00:00.868476+00:00,ERROR,payment-service,502,128,28.79.139.73,1,2
2024-06-15 09:00:00.871975+00:00,INFO,auth-service,201,123,13.244.80.15,0,0
2024-06-15 09:00:00.980601+00:00,INFO,auth-service,200,167,57.70.252.24,0,0
2024-06-15 09:00:01.017955+00:00,INFO,gateway,200,334,133.231.61.64,0,0
2024-06-15 09:00:01.038394+00:00,INFO,order-service,200,223,13.244.80.15,0,0
2024-06-15 09:00:01.387675+00:00,INFO,auth-service,200,155,64.62.233.35,0,0
2024-06-15 09:00:01.642619+00:00,INFO,auth-service,200,201,55.232.167.87,0,0
2024-06-15 09:00:01.651884+00:00,WARN,user-service,302,69,64.38.226.207,0,1
2024-06-15 09:00:01.683540+00:00,INFO,payment-service,201,29,210.153.53.241,0,0
2024-06-15 09:00:01.859996+00:00,INFO,gateway,304,45,113.39.146.61,0,0
2024-06-15 09:00:01.938237+00:00,INFO,order-service,304,78,3.57.38.242,0,0
2024-06-15 09:00:01.953426+00:00,INFO,notification-service,201,180,89.135.22.187,0,0
2024-06-15 09:00:02.083993+00:00,ERROR,gateway,401,202,146.154.207.141,1,2
2024-06-15 09:00:02.231514+00:00,WARN,inventory-service,302,125,168.255.202.227,0,1
2024-06-15 09:00:02.243829+00:00,WARN,notification-service,429,96,175.36.87.137,1,1
2024-06-15 09:00:02.442682+00:00,WARN,inventory-service,302,34,193.37.4.118,0,1
2024-06-15 09:00:02.449249+00:00,INFO,auth-service,200,216,187.27.50.16,0,0
2024-06-15 09:00:02.486498+00:00,INFO,gateway,200,222,207.81.216.88,0,0
2024-06-15 09:00:02.587987+00:00,INFO,user-service,200,77,218.37.233.107,0,0
2024-06-15 09:00:02.806212+00:00,INFO,payment-service,200,67,214.0.155.74,0,0
2024-06-15 09:00:02.931125+00:00,INFO,order-service,200,134,182.223.0.134,0,0
2024-06-15 09:00:03.074164+00:00,ERROR,auth-service,500,244,110.69.236.47,1,2
2024-06-15 09:00:03.142245+00:00,CRITICAL,gateway,502,163,36.126.134.192,1,3
2024-06-15 09:00:03.216213+00:00,INFO,inventory-service,201,112,179.249.79.49,0,0
2024-06-15 09:00:03.227630+00:00,WARN,gateway,503,135,104.124.156.170,1,1
2024-06-15 09:00:03.230823+00:00,INFO,notification-service,200,40,174.207.84.216,0,0
2024-06-15 09:00:03.301867+00:00,INFO,gateway,200,212,9.161.205.69,0,0
2024-06-15 09:00:03.539994+00:00,INFO,order-service,304,102,109.141.22.1,0,0
2024-06-15 09:00:03.680868+00:00,INFO,user-service,200,35,57.70.252.24,0,0
2024-06-15 09:00:03.706849+00:00,ERROR,gateway,503,125,109.141.22.1,1,2
2024-06-15 09:00:03.724430+00:00,INFO,user-service,200,110,70.171.163.229,0,0
2024-06-15 09:00:03.989925+00:00,INFO,notification-service,304,175,55.135.67.239,0,0
2024-06-15 09:00:04.195077+00:00,WARN,auth-service,503,221,195.194.142.193,1,1
2024-06-15 09:00:04.357874+00:00,INFO,auth-service,200,236,103.124.75.168,0,0
2024-06-15 09:00:04.584298+00:00,WARN,notification-service,200,152,108.194.89.158,0,1
2024-06-15 09:00:04.622571+00:00,INFO,notification-service,200,122,217.26.47.163,0,0
2024-06-15 09:00:04.678277+00:00,INFO,notification-service,200,114,161.81.216.153,0,0
