response_time_ms,response_time_zscore,is_error,log_level_int,error_rate_5min,avg_response_5min,request_count_per_ip
-0.34785342122219953,-0.34785342122219953,1.8792876454605514,2.9629514945310222,6.603159876031061,-0.6994423092821583,-0.28486969413821384
-0.3002651175100733,-0.30026511751007323,-0.532116518945631,-0.5932225076176977,2.377875718369873,-0.6517935294399765,-0.2978201152686432
-0.30169276662143707,-0.30169276662143707,-0.532116518945631,-0.5932225076176977,0.9694476658161433,-0.6368635784227594,-0.161840693399135
-0.27742273172825266,-0.27742273172825266,-0.532116518945631,-0.5932225076176977,0.2652336395392787,-0.6172481640543945,-0.29134490470342855
-0.3302457488487128,-0.3302457488487128,-0.532116518945631,-0.5932225076176977,-0.15729477622684004,-0.6266349736833043,-0.33667137865993124
-0.32834221670022773,-0.32834221670022773,-0.532116518945631,-0.5932225076176977,-0.4389803867375861,-0.6322575297046819,-0.2719192730077845
-0.3768822864865965,-0.3768822864865965,-0.532116518945631,0.5921688264318757,-0.6401843942452617,-0.6501598569882445,-0.22659279905128177
-0.2793262638767377,-0.2793262638767377,1.8792876454605514,2.9629514945310222,0.2652336395392787,-0.6391666027817983,-0.26544406244256985
-0.3250110354403789,-0.3250110354403789,-0.532116518945631,-0.5932225076176977,0.030495630780323697,-0.640781366987561,-0.23954322018171112
-0.3354804622570467,-0.3354804622570467,-0.532116518945631,-0.5932225076176977,-0.15729477622684004,-0.6441697246652274,-0.36904743148600466
-0.33214928099719787,-0.3321492809971978,-0.532116518945631,-0.5932225076176977,-0.31094147286906515,-0.6463355782944173,-0.1942167462252084
-0.2912233398047693,-0.2912233398047693,-0.532116518945631,-0.5932225076176977,-0.4389803867375861,-0.6413107978746964,-0.3560970103555753
-0.30692748002977094,-0.30692748002977094,-0.532116518945631,-0.5932225076176977,-0.547321006164796,-0.6394781524961509,-0.2783944835729992
-0.32834221670022773,-0.32834221670022773,-0.532116518945631,-0.5932225076176977,-0.6401843942452617,-0.6409704494472522,-0.31724574696428726
-0.33119751492295535,-0.3311975149229553,-0.532116518945631,-0.5932225076176977,-0.7206659972483319,-0.6426449637102775,-0.25896885187735513
-0.2793262638767377,-0.2793262638767377,-0.532116518945631,-0.5932225076176977,-0.7910873998760184,-0.6376180174369273,-0.3042953258338579
-0.3449981229994719,-0.3449981229994719,-0.532116518945631,-0.5932225076176977,-0.85322393160633,-0.6409183961583491,-0.25896885187735513
-0.3164451407721962,-0.31644514077219615,1.8792876454605514,1.777560160481449,-0.4389803867375861,-0.640675480810134,-0.38847306318164865
-0.3188245559578025,-0.3188245559578025,-0.532116518945631,-0.5932225076176977,-0.513108178977256,-0.640708918550374,-0.3042953258338579
-0.29788570232446693,-0.297885702324467,-0.532116518945631,-0.5932225076176977,-0.5798231919929591,-0.6386424662035343,-0.3237209575295019
-0.21841323512521613,-0.21841323512521613,-0.532116518945631,-0.5932225076176977,-0.6401843942452617,-0.6291943938576844,-0.3301961680947166
-0.27123625224567627,-0.27123625224567627,-0.532116518945631,-0.5932225076176977,-0.6950582144746278,-0.6254134322364411,-0.3042953258338579
-0.3035962987699221,-0.3035962987699221,-0.532116518945631,-0.5932225076176977,-0.7451603981623098,-0.6247787429555394,-0.26544406244256985
-0.281705679062344,-0.28170567906234406,-0.532116518945631,-0.5932225076176977,-0.7910873998760184,-0.622370407887429,-0.2783944835729992
-0.34452223996235065,-0.3445222399623507,-0.532116518945631,0.5921688264318757,-0.8333402414526303,-0.625186450776102,-0.26544406244256985
-0.3635575614472012,-0.3635575614472012,-0.532116518945631,-0.5932225076176977,-0.8723428644464258,-0.6292519912838672,-0.2719192730077845
-0.35594343285326097,-0.35594343285326097,-0.532116518945631,-0.5932225076176977,-0.9084564042554959,-0.6324516543632981,-0.20716716735563775
