timestamp,log_level,service_name,endpoint,response_time_ms,status_code,user_id,ip_address,request_id,region,environment
2024-06-15T09:00:00.046927+00:00,CRITICAL,inventory-service,/api/v1/products/7971/stock,62,503,a30c7cd5,90.35.125.95,234731c8-a717-4604-b75f-d7cde27cf446,us-west-2,production
2024-06-15T09:00:00.063886+00:00,INFO,user-service,/api/v1/users/search,162,200,e22b1072,166.153.234.81,dacd6bb9-8a2b-4912-b57a-ff40c6b61f87,eu-west-1,production
2024-06-15T09:00:00.069870+00:00,INFO,payment-service,/api/v1/payments/charge,159,200,dcba2654,93.235.78.112,b86d1bff-b896-48b3-95db-36497b22b037,eu-west-1,production
2024-06-15T09:00:00.192995+00:00,INFO,user-service,/api/v1/users/4180,210,200,b8c502e8,136.216.108.238,d4af8ca5-12ee-455e-a53e-9a371487e297,us-east-1,production
2024-06-15T09:00:00.195075+00:00,INFO,user-service,/api/v1/users/1893,99,200,e3a94b4b,110.69.236.47,a1999ea5-6f38-4cd0-92b4-ff9e9dc76f4f,us-east-1,production
2024-06-15T09:00:00.215336+00:00,INFO,gateway,/health,103,201,5f3f707b,210.153.53.241,1e64f8c5-439f-44bd-94f5-f54ae06234f7,us-west-2,production
2024-06-15T09:00:00.251612+00:00,WARN,gateway,/api/v1/status,1,302,46f92cb1,108.194.89.158,bb80ac6b-d1f9-464e-b7a6-8877770e427c,us-east-1,production
2024-06-15T09:00:00.286034+00:00,CRITICAL,payment-service,/api/v1/payments/refund,206,500,ae68dc32,206.237.162.244,0e893cec-5589-4f2d-8358-415d01883b24,eu-west-1,production
2024-06-15T09:00:00.380671+00:00,INFO,order-service,/api/v1/orders/8253/status,110,304,ec8582df,211.116.114.7,96d84711-fb10-4359-9fb3-c37c94e152be,eu-west-1,production
2024-06-15T09:00:00.426299+00:00,INFO,notification-service,/api/v1/notifications/send,88,200,82dca826,139.26.179.58,a973022e-4584-4e61-b1c6-73ef9de7030d,us-east-1,production
2024-06-15T09:00:00.487192+00:00,INFO,inventory-service,/api/v1/products,95,201,580f3847,80.55.13.238,eccec4d4-1752-471f-ad62-160b2edcb6f7,us-east-1,production
2024-06-15T09:00:00.559395+00:00,INFO,payment-service,/api/v1/payments/refund,181,201,93138f1d,91.107.136.180,c7e3db4e-6303-4059-8b7e-3438cf266a1f,eu-west-1,production
2024-06-15T09:00:00.649146+00:00,INFO,inventory-service,/api/v1/products,148,200,f67bdfc3,55.232.167.87,e1304239-f142-4849-8f86-e740571040a3,us-east-1,production
2024-06-15T09:00:00.667842+00:00,INFO,auth-service,/api/v1/login,103,304,56b5df4e,127.166.93.125,099eeba6-e12f-4b7d-8aa1-5ae40a2ed072,us-west-2,production
2024-06-15T09:00:00.674568+00:00,INFO,auth-service,/api/v1/logout,97,200,16cf7620,54.220.164.120,69fe39c4-1088-4697-a33c-f280a5e524d9,us-east-1,production
2024-06-15T09:00:00.684846+00:00,INFO,inventory-service,/api/v1/products,206,304,anonymous,139.7.47.238,c1b2950a-60ad-4055-b986-edf68e8eb1a3,us-east-1,production
2024-06-15T09:00:00.800121+00:00,INFO,notification-service,/api/v1/notifications/send,68,200,03391f59,207.100.186.111,dbe8fd13-f1e8-43b2-8472-f15dc62b124d,us-west-2,production
2024-06-15T09:00:00.868476+00:00,ERROR,payment-service,/api/v1/payments/refund,128,502,94fbe0fa,28.79.139.73,af7409a6-4d64-4b9d-909b-df46a5f8e6ba,eu-west-1,production
2024-06-15T09:00:00.871975+00:00,INFO,auth-service,/api/v1/login,123,201,71c9cafa,13.244.80.15,2e83373c-7952-4438-8e80-95225e9f82cc,eu-west-1,production
2024-06-15T09:00:00.980601+00:00,INFO,auth-service,/api/v1/logout,167,200,20cf72cb,57.70.252.24,4b40029d-ccf5-4d62-b33a-4aef86b84f3d,eu-west-1,production
2024-06-15T09:00:01.017955+00:00,INFO,gateway,/health,334,200,2b31da45,133.231.61.64,377e379a-85e6-4f0e-8630-c1dd27856335,eu-west-1,production
2024-06-15T09:00:01.038394+00:00,INFO,order-service,/api/v1/orders,223,200,0002c813,13.244.80.15,d98f8244-91ac-4ad6-9dbf-8f5ff288dd26,us-east-1,production
2024-06-15T09:00:01.387675+00:00,INFO,auth-service,/api/v1/refresh-token,155,200,bot-scanner,64.62.233.35,e47c93bf-9fa9-4adc-9e8e-7fe5791136d5,us-west-2,production
2024-06-15T09:00:01.642619+00:00,INFO,auth-service,/api/v1/login,201,200,2b31da45,55.232.167.87,78c25314-f498-4204-8c5a-127a37d3c90f,eu-west-1,production
